marca,id,name,img_url,family_unificada,family_original
bershka,227381989,Pantalón parachute técnico,https://tyoqkvnleusdsdwimjbj.supabase.co/storage/v1/object/public/bershka/227381989.jpg,Pantalones,pantalones
bershka,226931329,Pantalón barrel rayas,https://tyoqkvnleusdsdwimjbj.supabase.co/storage/v1/object/public/bershka/226931329.jpg,Pantalones,pantalones
bershka,230270441,Pantalón capri felpa banda lateral,https://tyoqkvnleusdsdwimjbj.supabase.co/storage/v1/object/public/bershka/230270441.jpg,Shorts y Bermudas,shorts
bershka,226931517,Pantalón capri bajo aberturas,https://tyoqkvnleusdsdwimjbj.supabase.co/storage/v1/object/public/bershka/226931517.jpg,Shorts y Bermudas,shorts
bershka,229730159,Pantalón bombacho rústico,https://tyoqkvnleusdsdwimjbj.supabase.co/storage/v1/object/public/bershka/229730159.jpg,Pantalones,pantalones
bershka,232076804,Pantalón straight cargo print,https://tyoqkvnleusdsdwimjbj.supabase.co/storage/v1/object/public/bershka/232076804.jpg,Pantalones,pantalones
bershka,229723128,Pantalón barrel felpa stoppers,https://tyoqkvnleusdsdwimjbj.supabase.co/storage/v1/object/public/bershka/229723128.jpg,Pantalones,pantalones
bershka,229350180,Pantalón slim tiro bajo,https://tyoqkvnleusdsdwimjbj.supabase.co/storage/v1/object/public/bershka/229350180.jpg,Pantalones,pantalones
bershka,226926595,Pantalón flare bengalina,https://tyoqkvnleusdsdwimjbj.supabase.co/storage/v1/object/public/bershka/226926595.jpg,Pantalones,pantalones
bershka,233408538,Pantalón técnico parachute,https://tyoqkvnleusdsdwimjbj.supabase.co/storage/v1/object/public/bershka/233408538.jpg,Pantalones,pantalones
bershka,227962146,Pantalón bombacho,https://tyoqkvnleusdsdwimjbj.supabase.co/storage/v1/object/public/bershka/227962146.jpg,Pantalones,pantalones
bershka,227741822,Pantalón felpa parachute,https://tyoqkvnleusdsdwimjbj.supabase.co/storage/v1/object/public/bershka/227741822.jpg,Pantalones,pantalones
bershka,226931740,Pantalón barrel felpa cintura vuelta,https://tyoqkvnleusdsdwimjbj.supabase.co/storage/v1/object/public/bershka/226931740.jpg,Pantalones,pantalones
bershka,239228520,Pantalón bombacho pañuelo,https://tyoqkvnleusdsdwimjbj.supabase.co/storage/v1/object/public/bershka/239228520.jpg,Pantalones,pantalones
bershka,229730174,Pantalón bloomer popelín,https://tyoqkvnleusdsdwimjbj.supabase.co/storage/v1/object/public/bershka/229730174.jpg,Pantalones,pantalones
bershka,229730138,Pantalón cintura vuelta,https://tyoqkvnleusdsdwimjbj.supabase.co/storage/v1/object/public/bershka/229730138.jpg,Pantalones,pantalones
bershka,226931507,Bermuda larga ED HARDY x BERSHKA,https://tyoqkvnleusdsdwimjbj.supabase.co/storage/v1/object/public/bershka/226931507.jpg,Shorts y Bermudas,shorts
